"Time","sensor-readings.reading"
1650801600000,6206103
1650805200000,6207130
1650808800000,6208145
1650812400000,6209176
1650816000000,6210195
1650819600000,6211198
1650823200000,6212213
1650826800000,6213256
1650830400000,6214283
1650834000000,6215306
1650837600000,6216309
1650841200000,6217376
1650844800000,6218399
1650848400000,6219442
1650852000000,6220477
1650855600000,6221528
1650859200000,6222623
1650862800000,6223877
1650866400000,6225300
1650870000000,6226786
1650873600000,6228293
1650877200000,6229951
1650880800000,6231710
1650884400000,6233476
1650888000000,6235202
1650891600000,6237004
1650895200000,6238822
1650898800000,6240381
1650902400000,6241787
1650906000000,6243026
1650909600000,6244069
1650913200000,6245124
1650916800000,6246147
1650920400000,6247150
1650924000000,6248129
1650927600000,6249124
1650931200000,6250099
1650934800000,6251078
1650938400000,6252073
1650942000000,6253064
1650945600000,6254111
1650949200000,6255266
1650952800000,6256637
1650956400000,6258327
1650960000000,6260069
1650963600000,6261843
1650967200000,6263618
1650970800000,6265272
1650974400000,6267010
1650978000000,6268788
1650981600000,6270623
1650985200000,6272269
1650988800000,6273775
1650992400000,6275166
1650996000000,6276537
1650999600000,6277903
1651003200000,6279246
1651006800000,6280385
1651010400000,6281588
1651014000000,6282766
1651017600000,6283933
1651021200000,6285112
1651024800000,6286223
1651028400000,6287246
1651032000000,6288373
1651035600000,6289652
1651039200000,6291294
1651042800000,6293084
1651046400000,6295006
1651050000000,6296920
1651053600000,6298778
1651057200000,6300649
1651060800000,6302423
1651064400000,6304073
1651068000000,6305807
1651071600000,6307438
1651075200000,6308796
1651078800000,6310027
1651082400000,6311162
1651086000000,6312257
1651089600000,6313348
1651093200000,6314391
1651096800000,6315422
1651100400000,6316525
1651104000000,6317568
1651107600000,6318611
1651111200000,6319670
1651114800000,6320752
1651118400000,6321851
1651122000000,6323098
1651125600000,6324549
1651129200000,6326219
1651132800000,6327845
1651136400000,6329540
1651140000000,6331246
1651143600000,6332952
1651147200000,6334587
1651150800000,6336197
1651154400000,6337568
1651158000000,6338978
1651161600000,6340385
1651165200000,6341632
1651168800000,6342810
1651172400000,6343953
1651176000000,6345096
1651179600000,6346195
1651183200000,6347278
1651186800000,6348409
1651190400000,6349532
1651194000000,6350631
1651197600000,6351721
1651201200000,6352768
1651204800000,6353879
1651208400000,6355026
1651212000000,6356289
1651215600000,6357787
1651219200000,6359286
1651222800000,6360764
1651226400000,6362395
1651230000000,6364061
1651233600000,6365520
1651237200000,6366890
1651240800000,6368129
1651244400000,6369296
1651248000000,6370419
1651251600000,6371498
1651255200000,6372517
1651258800000,6373520
1651262400000,6374499
1651266000000,6375466
1651269600000,6376441
1651273200000,6377420
1651276800000,6378395
1651280400000,6379362
1651284000000,6380329
1651287600000,6381316
1651291200000,6382299
1651294800000,6383274
1651298400000,6384245
1651302000000,6385176
1651305600000,6386143
1651309200000,6387110
1651312800000,6388073
1651316400000,6389060
1651320000000,6390015
1651323600000,6391002
1651327200000,6391969
1651330800000,6392964
1651334400000,6393955
1651338000000,6394958
1651341600000,6395953
1651345200000,6396944
1651348800000,6397923
1651352400000,6398882
1651356000000,6399829
1651359600000,6400812
1651363200000,6401791
1651366800000,6402770
1651370400000,6403745
1651374000000,6404692
1651377600000,6405647
1651381200000,6406598
1651384800000,6407550
1651388400000,6408477
1651392000000,6409412
1651395600000,6410375
1651399200000,6411322
1651402800000,6412241
1651406400000,6413188
1651410000000,6414123
1651413600000,6415078
1651417200000,6416065
1651420800000,6417032
1651424400000,6417975
1651428000000,6418930
1651431600000,6419869
1651435200000,6420796
