"Time","sensor-readings.reading"
1650802625000,0
1650802682000,1
1650802973000,0
1650802999000,1
1650803239000,0
1650803299000,1
1650803324000,0
1650803477000,1
1650803517000,0
1650803539000,1
1650803568000,0
1650803633000,1
1650803636000,0
1650803638000,1
1650803642000,0
1650803673000,1
1650803678000,0
1650803747000,1
1650803814000,0
1650803955000,1
1650803969000,0
1650803971000,1
1650804067000,0
1650804072000,1
1650804205000,0
1650804208000,1
1650804209000,0
1650804281000,1
1650804357000,0
1650804373000,1
1650804377000,0
1650804424000,1
1650804682000,0
1650805193000,1
1650805242000,0
1650805255000,1
1650805258000,0
1650805351000,1
1650805353000,0
1650805356000,1
1650805423000,0
1650805651000,1
1650805663000,0
1650805665000,1
1650805701000,0
1650805978000,1
1650806060000,0
1650806111000,1
1650806123000,0
1650806125000,1
1650806192000,0
1650806309000,1
1650806339000,0
1650806420000,1
1650806428000,0
1650806430000,1
1650806457000,0
1650806463000,1
1650806466000,0
1650806468000,1
1650806490000,0
1650806542000,1
1650806549000,0
1650806791000,1
1650807018000,0
1650807112000,1
1650807608000,0
1650807684000,1
1650808414000,0
1650808497000,1
1650808674000,0
1650808691000,1
1650808702000,0
1650808707000,1
1650808712000,0
1650808730000,1
1650808834000,0
1650808855000,1
1650808866000,0
1650808940000,1
1650808985000,0
1650809007000,1
1650809088000,0
1650809135000,1
1650809161000,0
1650809163000,1
1650809171000,0
1650809184000,1
1650809208000,0
1650809216000,1
1650809561000,0
1650809887000,1
1650809923000,0
1650809926000,1
1650809975000,0
1650811189000,1
1650811218000,0
1650811729000,1
1650811769000,0
1650814147000,1
1650814222000,0
1650865860000,1
1650865978000,0
1650865996000,1
1650867335000,0
1650870156000,1
1650870199000,0
1650870247000,1
1650870540000,0
1650871110000,1
1650876301000,0
1650876399000,1
1650876406000,0
1650876684000,1
1650876698000,0
1650876724000,1
1650878739000,0
1650879437000,1
1650879487000,0
1650879496000,1
1650879507000,0
1650879612000,1
1650879655000,0
1650879724000,1
1650879733000,0
1650879741000,1
1650881017000,0
1650881112000,1
1650881288000,0
1650881445000,1
1650881559000,0
1650881612000,1
1650881624000,0
1650881689000,1
1650881822000,0
1650881863000,1
1650881865000,0
1650881931000,1
1650882026000,0
1650882071000,1
1650885712000,0
1650885735000,1
1650885749000,0
1650885790000,1
1650885800000,0
1650885810000,1
1650885819000,0
1650885827000,1
1650885836000,0
1650885851000,1
1650885895000,0
1650885945000,1
1650885962000,0
1650885966000,1
1650885968000,0
1650886113000,1
1650886149000,0
1650886155000,1
1650886166000,0
1650886183000,1
1650886450000,0
1650886463000,1
1650886490000,0
1650886500000,1
1650886617000,0
1650886692000,1
1650886775000,0
1650886801000,1
1650887007000,0
1650887013000,1
1650887053000,0
1650887083000,1
1650887093000,0
1650887162000,1
1650887167000,0
1650887300000,1
1650887305000,0
1650887311000,1
1650887340000,0
1650887358000,1
1650887362000,0
1650887411000,1
1650887534000,0
1650887561000,1
1650888290000,0
