"Time","sensor-readings.reading"
1650803676000,8.85
1650816546000,6.84
1650835222000,4.84
1650870201000,6.84
1650872916000,8.87
1650893556000,6.87
1650978531000,8.89
1650985821000,6.88
1651054266000,8.89
1651067361000,6.89
1651128606000,8.9
1651169316000,4.9
1651215201000,6.9
1651252551000,4.9
1651299801000,6.9
1651340646000,4.9
1651396386000,6.9
1651409571000,10.93
1651415091000,8.93
1651421691000,6.93
1651471341000,8.93
1651479456000,10.93
1651487331000,12.97
1651490526000,10.93
1651494531000,8.91
1651502826000,6.88
1651556497000,8.88
1651563637000,10.88
1651567132000,12.91
1651575007000,10.91
1651584066000,8.9
1651606116000,4.9
1651640646000,6.9
1651648761000,10.91
1651670031000,8.91
1651677216000,6.91
1651729221000,8.92
1651733106000,10.93
1651735476000,12.99
1651747431000,10.98
1651750356000,13.02
1651750806000,10.98
1651755485000,10.98
1651755571000,10.98
1651758831000,8.97
1651772557000,6.97
1651814653000,6.97
1651823481000,8.97
1651932741000,10.97
1651997151000,13.02
1651998261000,15.08
1652003526000,13.03
1652016156000,11.03
1652017656000,9.01
1652078647000,11.01
1652087946000,13.03
1652096256000,11.02
1652116776000,9.02
1652124441000,7.01
1652159871000,9.02
1652163891000,11.03
1652165301000,13.06
1652185086000,11.03
1652198016000,9.03
1652248716000,11.04
1652251416000,13.07
1652253501000,15.12
1652267376000,13.1
1652276631000,11.1
1652284461000,9.09
1652296086000,7.09
1652330571000,9.09
1652333586000,11.09
1652335581000,13.09
1652343471000,15.09
1652351196000,17.13
1652353206000,15.12
1652354316000,13.1
1652361606000,11.09
1652373081000,9.08
1652381796000,7.08
1652405451000,9.08
1652419221000,11.08
1652427591000,13.09
1652435331000,15.1
1652442846000,13.04
1652447316000,11.04
1652449101000,9.03
1652450766000,11.03
1652453256000,13.05
1652456451000,11.04
1652493727000,9.04
1652504662000,11.06
1652508186000,13.06
1652540811000,11.04
1652549976000,9.04
1652593851000,11.06
1652596191000,13.09
1652603811000,15.09
1652604606000,13.08
1652616411000,11.06
1652638911000,9.06
1652678196000,11.06
1652680116000,13.08
1652682411000,15.11
1652689940000,15.11
1652701011000,13.1
1652708721000,11.09
1652717886000,9.09
1652765853000,9.09
1652768511000,11.09
1652770791000,13.13
1652782491000,11.12
1652791112000,11.12
1652791736000,11.12
1652791988000,11.12
1652792308000,11.12
1652792591000,11.12
1652792978000,11.12
1652795676000,9.12
1652815791000,7.12
1652848986000,9.12
1652884731000,7.12
1652903451000,5.12
1652939421000,7.14
1652944656000,9.15
1652992221000,5.15
1653024141000,7.15
1653033126000,11.19
1653034941000,13.2
1653060036000,11.17
1653073791000,9.17
1653089902000,11.17
1653124911000,13.17
1653132546000,15.18
1653133731000,13.16
1653139386000,11.14
1653145041000,8.01
1653145056000,11.09
1653148746000,13.09
1653150351000,11.07
1653156156000,9.07
1653218226000,11.09
1653237816000,9.09
