"Time","sensor-readings.reading"
1650801861000,11.1
1650802206000,10.8
1650802401000,10.5
1650802521000,10.8
1650803031000,10.5
1650803451000,10.1
1650803586000,9.8
1650803661000,9.5
1650804096000,9.8
1650804351000,9.5
1650804981000,9.1
1650805236000,9.7
1650805461000,9.4
1650805881000,9.7
1650805941000,9.4
1650806181000,9.7
1650806376000,9.4
1650807606000,9.7
1650807696000,9.4
1650807846000,9.7
1650807981000,10.1
1650808086000,10.5
1650808491000,10.1
1650808596000,9.8
1650808626000,9.4
1650809316000,9.7
1650809376000,10.1
1650809451000,10.5
1650809601000,10.1
1650809676000,9.8
1650809706000,9.5
1650809826000,9.1
1650810096000,8.7
1650810246000,8.4
1650810906000,7.7
1650811161000,7.3
1650812751000,7
1650813306000,6.6
1650814836000,6.2
1650816261000,5.8
1650816681000,5.5
1650817761000,5.1
1650819141000,5.5
1650819321000,5.1
1650819501000,4.7
1650820191000,4.3
1650821196000,3.9
1650821961000,3.6
1650822786000,3.2
1650823686000,2.8
1650827436000,2.1
1650827857000,2.4
1650827961000,2.8
1650828322000,2.1
1650829836000,2.4
1650830197000,2.1
1650831299000,1.5
1650832941000,1.1
1650833181000,0.8
1650833421000,1.1
1650833602000,1.7
1650833767000,2.1
1650833991000,2.4
1650834097000,2.1
1650834411000,1.1
1650834817000,1.7
1650835012000,1.4
1650835146000,0.8
1650835222000,0.5
1650836106000,0.8
1650836872000,0.5
1650837082000,-0.1
1650837293000,-0.4
1650840576000,-0.1
1650841237000,-0.7
1650841476000,-1.1
1650842031000,-0.8
1650842107000,-0.5
1650842271000,0.1
1650842347000,0.5
1650842392000,0.9
1650842451000,1.2
1650842526000,1.6
1650842736000,1.3
1650842872000,0.6
1650843037000,0.3
1650843201000,0
1650843337000,-0.3
1650843456000,-0.6
1650843606000,-1
1650846172000,-0.6
1650846892000,-1
1650847132000,-1.6
1650851121000,-1.3
1650851556000,-1.6
1650852966000,-1.3
1650855456000,-0.6
1650858486000,-0.3
1650858666000,0
1650859461000,0.3
1650859626000,0.6
1650859911000,0.3
1650860226000,0
1650860481000,0.3
1650860706000,0.6
1650861216000,0.3
1650861441000,0
