"Time","sensor-readings.reading"
1650801936000,39.3
1650802206000,38.2
1650803451000,37.1
1650803616000,35.9
1650804186000,36.9
1650804351000,35.9
1650805266000,36.9
1650806511000,35.9
1650807576000,37
1650807936000,38
1650808041000,39.1
1650808581000,38.1
1650808626000,36.9
1650808956000,35.9
1650809166000,36.9
1650809316000,38
1650809391000,39.1
1650809466000,40.1
1650809586000,39.1
1650809691000,37.8
1650809826000,36.8
1650810111000,35.8
1650810321000,34.8
1650810951000,33.8
1650812871000,32.8
1650814836000,31.8
1650816681000,30.8
1650818121000,29.8
1650819096000,30.8
1650819456000,29.8
1650820296000,28.8
1650821931000,27.8
1650823341000,26.8
1650824571000,25.8
1650828456000,24.8
1650829836000,25.8
1650830346000,24.8
1650830992000,23.8
1650833181000,22.8
1650833511000,23.8
1650833706000,24.8
1650834352000,23.7
1650835146000,22.7
1650835341000,21.7
1650836152000,22.7
1650836917000,21.7
1650837097000,20.7
1650837501000,19.7
1650841387000,18.7
1650842152000,19.7
1650842302000,20.8
1650842392000,21.9
1650842496000,22.9
1650842812000,21.9
1650842991000,20.9
1650843277000,19.9
1650843471000,18.9
1650844086000,17.9
1650847056000,16.9
1650848047000,15.9
1650853296000,16.9
1650859251000,17.9
1650863061000,18.9
1650863706000,19.9
1650864351000,18.9
1650864876000,19.9
1650865776000,20.9
1650866121000,21.9
1650866451000,22.9
1650866631000,23.9
1650866991000,24.9
1650867246000,25.9
1650868191000,24.9
1650868416000,23.9
1650869676000,24.9
1650870051000,25.9
1650870261000,26.9
1650871281000,27.9
1650871356000,28.9
1650871431000,30
1650871506000,31.1
1650872496000,33.1
1650872646000,34.1
1650872886000,35.1
1650872976000,36.1
1650873051000,37.1
1650873396000,35.9
1650873441000,34.9
1650873486000,33.9
1650873576000,32.9
1650874176000,33.9
1650874311000,34.9
1650874536000,36
1650874626000,37
1650874701000,38
1650874791000,39
1650875421000,37.9
1650875481000,36.9
1650876006000,37.9
1650876291000,38.9
1650877251000,37.9
1650877371000,36.8
1650877911000,37.8
1650878031000,38.8
1650878271000,37.6
1650878331000,36.6
1650878601000,37.7
1650878661000,38.8
1650878946000,37.7
1650879096000,36.7
1650879411000,35.6
1650879801000,34.5
1650880236000,35.6
1650880581000,36.7
1650880986000,35.7
1650881541000,36.8
1650881961000,35.8
1650882246000,34.8
1650882426000,35.8
1650882591000,36.8
1650882801000,37.8
1650882951000,38.8
1650883296000,37.7
1650883506000,38.9
1650883836000,39.9
1650884271000,40.9
1650884376000,41.9
1650884661000,40.9
1650885021000,41.9
1650885396000,40.9
1650885936000,39.8
1650886041000,38.8
1650886341000,39.8
1650886761000,38.8
1650886866000,37.8
1650887091000,38.9
1650887196000,37.9
1650887331000,36.9
1650887616000,38
1650887751000,39
1650887811000,40.3
1650887856000,41.3
1650887916000,42.4
1650888246000,41.4
1650888306000,40.2
1650888351000,39.2
1650888516000,38.2
1650888786000,39.4
1650888966000,40.4
1650889026000,41.6
1650889101000,42.6
1650889221000,43.6
1650889311000,44.6
1650889521000,45.8
1650889611000,46.8
1650889701000,47.9
1650889776000,46.7
1650889836000,45.1
1650889866000,44
1650889896000,42.6
1650889926000,41.4
1650889971000,40.1
1650890001000,39
1650890451000,37.8
1650890631000,36.8
1650890781000,37.8
1650891006000,38.9
1650891171000,39.9
1650891306000,38.9
1650891396000,37.8
1650891501000,36.7
1650892206000,35.7
1650893046000,34.7
1650893166000,33.7
1650893541000,32.7
1650893646000,31.6
1650893781000,30.5
1650893916000,29.5
1650894741000,30.5
1650895026000,31.5
1650895581000,30.5
1650895986000,31.6
1650896196000,33.7
1650897126000,32.7
1650897921000,33.7
1650898716000,34.7
1650898986000,33.6
1650899241000,32.6
1650900861000,33.6
1650901146000,34.6
1650902031000,33.6
1650902841000,32.6
