"Time","sensor-readings.reading"
1650802026000,64.4
1650803376000,62.4
1650804831000,60.4
1650806496000,58.4
1650808401000,56.4
1650810006000,54.4
1650811776000,52.4
1650814101000,50.4
1650816846000,48.4
1650820356000,46.4
1650828592000,44.4
1650840472000,46.4
1650844777000,48.4
1650848601000,50.4
1650852216000,52.4
1650855276000,54.4
1650858606000,56.4
1650862161000,58.4
1650865731000,60.4
1650871416000,62.4
1650876756000,60.4
1650878811000,58.4
1650880701000,56.4
1650883056000,54.4
1650885396000,52.4
1650887316000,50.4
1650889941000,48.4
1650892041000,46.4
1650898266000,44.4
1650914526000,46.4
1650917466000,48.4
1650920181000,50.4
1650923181000,52.4
1650925896000,54.4
1650928596000,56.4
1650931206000,58.4
1650933801000,60.4
1650937356000,62.4
1650940612000,64.4
1650948727000,66.4
1650972306000,64.4
1650977197000,62.4
1650981487000,60.4
1650994446000,62.4
1650997356000,64.4
1650999681000,66.4
1651002681000,68.4
1651006101000,70.4
1651010946000,72.4
1651025721000,74.4
1651030161000,76.4
1651035096000,78.4
1651051386000,80.4
1651059486000,78.4
1651062081000,76.4
1651064271000,74.4
1651067511000,72.4
1651105476000,74.4
1651131321000,72.4
1651133121000,70.4
1651134696000,68.4
1651136001000,66.4
1651137516000,64.4
1651139001000,62.4
1651140501000,60.4
1651142061000,58.4
1651143651000,56.4
1651145541000,54.4
1651147611000,52.4
1651149711000,50.4
1651151751000,48.4
1651154451000,46.4
1651156941000,44.4
1651160541000,42.4
1651164456000,40.4
1651173381000,38.4
1651186432000,40.4
1651190811000,42.4
1651194606000,44.4
1651198191000,46.4
1651201716000,48.4
1651205346000,50.4
1651208871000,52.4
1651212966000,54.4
1651221336000,52.4
1651223556000,50.4
1651225926000,48.4
1651228131000,46.4
1651230546000,44.4
1651233606000,42.4
1651236486000,40.4
1651240176000,38.4
1651244946000,36.4
1651251201000,34.4
1651265556000,36.4
1651269697000,38.4
1651273717000,40.4
1651276987000,42.4
1651280706000,44.4
1651284276000,46.4
1651287966000,48.4
1651291431000,50.4
1651294731000,52.4
1651297761000,54.4
1651308636000,52.4
1651311036000,50.4
1651313601000,48.4
1651315686000,46.4
1651318191000,44.4
1651321146000,42.4
1651323831000,40.4
1651326171000,38.4
1651329906000,36.4
1651335156000,34.4
1651353726000,36.4
1651357236000,38.4
1651360326000,40.4
1651363371000,42.4
1651366521000,44.4
1651369611000,46.4
1651372566000,48.4
1651375866000,50.4
1651379572000,52.4
1651382766000,54.4
1651386547000,56.4
1651390837000,58.4
1651394122000,60.4
1651398022000,62.4
1651401396000,64.4
1651408401000,32
1651408416000,65.1
1651411761000,63.1
1651413621000,61.1
1651416336000,59.1
1651418376000,57.1
1651431681000,59.1
1651434771000,61.1
1651438161000,63.1
1651441656000,65.1
1651445481000,67.1
1651449666000,69.1
1651453626000,71.1
1651457421000,73.1
1651462056000,75.1
1651465791000,77.1
1651471041000,79.1
1651483071000,77.1
1651485216000,75.1
1651487001000,73.1
1651488456000,71.1
1651489716000,69.1
1651490991000,67.1
1651492896000,65.1
1651494981000,63.1
1651500756000,61.1
1651508196000,63.1
1651511001000,65.1
1651513716000,67.1
1651516836000,69.1
1651521231000,71.1
1651526961000,73.1
1651532586000,75.1
1651537611000,77.1
1651544707000,79.1
1651552117000,81.1
1651563637000,79.1
1651565542000,77.1
1651567086000,75.1
1651568347000,73.1
1651569201000,71.1
1651570297000,69.1
1651571121000,67.1
1651572081000,65.1
1651573132000,63.1
1651574167000,61.1
1651575082000,59.1
1651576297000,57.1
1651577512000,55.1
1651578682000,53.1
1651580166000,51.1
1651581636000,49.1
1651582972000,47.1
1651584516000,45.1
1651586841000,43.1
1651589001000,41.1
1651595346000,39.1
1651608666000,41.1
1651611591000,43.1
1651614261000,45.1
1651616991000,47.1
1651619421000,49.1
1651621896000,51.1
1651624461000,53.1
1651627386000,55.1
1651630311000,57.1
1651633011000,59.1
1651635831000,61.1
1651638681000,63.1
1651641486000,65.1
1651652316000,63.1
1651654311000,61.1
1651656036000,59.1
1651657896000,57.1
1651659486000,55.1
1651661361000,53.1
1651662876000,51.1
1651664916000,49.1
1651667046000,47.1
1651669851000,45.1
1651685361000,47.1
1651687521000,49.1
1651689472000,51.1
1651691602000,53.1
1651693686000,55.1
1651696221000,57.1
1651699176000,59.1
1651702746000,61.1
1651705942000,63.1
1651708911000,65.1
1651711791000,67.1
1651715032000,69.1
1651718511000,71.1
1651722291000,73.1
1651726161000,75.1
1651736856000,73.1
1651738206000,71.1
1651739901000,69.1
1651741371000,67.1
1651743006000,65.1
1651744416000,63.1
1651745961000,61.1
1651747311000,59.1
1651749216000,57.1
1651750596000,55.1
1651752156000,53.1
1651753551000,51.1
1651755396000,49.1
1651755485000,49.1
1651755571000,49.1
1651757136000,47.1
1651759086000,45.1
1651763151000,43.1
1651784062000,45.1
1651787226000,47.1
1651790182000,49.1
1651792777000,51.1
1651795177000,53.1
