"Time","sensor-readings.reading"
1650803466000,17.3
1650803691000,16.7
1650804096000,17.3
1650804216000,17.6
1650804276000,17.3
1650805236000,17.6
1650805446000,17.3
1650805821000,17.6
1650806691000,17.3
1650807021000,17.6
1650807141000,17.3
1650807261000,17.6
1650807606000,18.3
1650807921000,18.6
1650808056000,19.2
1650808506000,18.9
1650808611000,18.5
1650808896000,18.1
1650809301000,18.8
1650809346000,19.1
1650809436000,19.7
1650809586000,19.4
1650809691000,18.8
1650809871000,18.2
1650810246000,17.8
1650811519000,17.2
1650813276000,16.8
1650814386000,17.1
1650814776000,16.8
1650818112000,16.2
1650819141000,16.8
1650819696000,15.8
1650820716000,16.1
1650821016000,15.8
1650821166000,15.5
1650822351000,15.1
1650823266000,14.8
1650823881000,14.5
1650824826000,14.1
1650825366000,14.5
1650826281000,14.1
1650827886000,14.5
1650828291000,14.1
1650828381000,13.8
1650829131000,14.1
1650830301000,13.8
1650830646000,13.5
1650831081000,13.1
1650832536000,13.5
1650832882000,13.1
1650833107000,12.8
1650833226000,12.5
1650833406000,12.8
1650833481000,13.1
1650833617000,13.5
1650833721000,13.8
1650833961000,14.1
1650834126000,13.8
1650834247000,13.5
1650834337000,13.1
1650834426000,12.8
1650834696000,13.1
1650834832000,13.5
1650835012000,13.1
1650835086000,12.8
1650835146000,12.5
1650835237000,12.1
1650835371000,11.8
1650835762000,11.5
1650835957000,11.8
1650836031000,12.1
1650836152000,12.5
1650836841000,12.1
1650836932000,11.8
1650837006000,11.5
1650837142000,11.1
1650837306000,10.8
1650837756000,10.5
1650838686000,10.8
1650839676000,10.5
1650839962000,10.1
1650840457000,10.5
1650840546000,10.8
1650840922000,10.5
1650841237000,10.1
1650841372000,9.8
1650841566000,9.5
1650842001000,9.8
1650842092000,10.1
1650842181000,10.5
1650842241000,10.8
1650842317000,11.1
1650842377000,11.5
1650842421000,11.8
1650842466000,12.1
1650842572000,12.5
1650842721000,12.1
1650842782000,11.8
1650842827000,11.5
1650842946000,11.1
1650843126000,10.8
1650843247000,10.5
1650843366000,10.1
1650843471000,9.8
1650843577000,9.5
1650844207000,9.1
1650846936000,8.7
1650847026000,8.4
1650847971000,7.7
1650850011000,7.3
1650850386000,7.7
1650851706000,7.3
1650853011000,7.7
1650853371000,8.1
1650854001000,7.7
1650857361000,7.3
1650858426000,7.7
1650858711000,8.1
1650859686000,8.7
1650859851000,8.4
1650861501000,7.7
1650862716000,8.1
1650863481000,8.7
1650863691000,9.1
1650864246000,8.7
1650864876000,9.1
1650865866000,9.7
1650866076000,10.1
1650866286000,10.5
1650866496000,10.8
1650866601000,11.1
1650866946000,11.5
1650867021000,11.8
1650867231000,12.1
1650868146000,11.8
1650868221000,11.5
1650868416000,11.1
1650868611000,10.8
1650869406000,11.1
1650869601000,11.5
1650869841000,11.8
1650870036000,12.1
1650870186000,12.5
1650870306000,12.8
1650870426000,12.5
1650871011000,12.8
1650871281000,13.1
1650871341000,13.5
1650871386000,13.8
1650871431000,14.1
1650871476000,14.5
